Question,Answer,Role,Topic,Difficulty,Seniority,Stage,Source,Question_Type,Competency_Area,Adaptive_Level,Is_Final_Question,Embedding_Text
Bagaimana reaksi Anda terhadap perubahan prioritas yang tiba-tiba?,"Saya selalu bersemangat untuk belajar dan menerima perubahan sebagai cara untuk menjadi lebih baik. Misalnya, saya pernah harus beralih ke tumpukan teknologi baru dan mengambilnya dengan cepat. Bagaimana reaksi Anda terhadap perubahan prioritas yang tiba-tiba?",Data Scientist,Adaptability,Hard,Intermediate,Opening,HR_Dataset,Technical Knowledge,Frontend,3,False,"Role: Data Scientist. Stage: Opening. Level: 3. Type: Technical Knowledge. Competency: Frontend. Question: How do you react to sudden changes in priorities?. Ideal Answer: I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. How do you react to sudden changes in priorities?"
Mengapa Anda ingin bekerja di perusahaan kami?,Saya termotivasi oleh tantangan dan peluang untuk berkembang baik secara pribadi maupun profesional. Mengapa Anda ingin bekerja di perusahaan kami?,Data Scientist,Motivation,Medium,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,2,False,Role: Data Scientist. Stage: Opening. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: Why do you want to work at our company?. Ideal Answer: I'm motivated by challenges and the opportunity to grow both personally and professionally. Why do you want to work at our company?
Ceritakan tentang saat Anda membimbing seseorang.,"Saya memimpin dengan memberi contoh dan mendorong komunikasi terbuka dan akuntabilitas. Suatu kali, saya memimpin tim melalui X dan kami mencapai Y. Ceritakan kepada saya saat Anda membimbing seseorang.",Data Scientist,Leadership,Easy,Intermediate,Case Study,HR_Dataset,Leadership,General Engineering,1,False,"Role: Data Scientist. Stage: Case Study. Level: 1. Type: Leadership. Competency: General Engineering. Question: Tell me about a time you mentored someone.. Ideal Answer: I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. Tell me about a time you mentored someone."
Jelaskan saat Anda gagal dan apa yang Anda pelajari darinya.,"Saya selalu bersemangat untuk belajar dan menerima perubahan sebagai cara untuk menjadi lebih baik. Misalnya, saya pernah harus beralih ke tumpukan teknologi baru dan mengambilnya dengan cepat. Jelaskan saat Anda gagal dan apa yang Anda pelajari darinya.",Data Scientist,Adaptability,Easy,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,1,False,"Role: Data Scientist. Stage: Opening. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: Describe a time you failed and what you learned from it.. Ideal Answer: I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. Describe a time you failed and what you learned from it."
Bagaimana Anda menyelaraskan dengan nilai-nilai perusahaan kita?,Saya berkembang dalam lingkungan yang kolaboratif dan transparan yang menghargai inovasi dan rasa hormat. Bagaimana Anda menyelaraskan dengan nilai-nilai perusahaan kita?,Data Scientist,Culture Fit,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: Data Scientist. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: How do you align with our company values?. Ideal Answer: I thrive in collaborative, transparent environments where innovation and respect are valued. How do you align with our company values?"
Jelaskan hari kerja ideal Anda.,Saya mengikuti alur kerja terstruktur dan menggunakan alat seperti Jira/Trello/Notion untuk mengelola tugas saya secara efisien. Jelaskan hari kerja ideal Anda.,Data Scientist,Work Style,Easy,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,1,False,Role: Data Scientist. Stage: Opening. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: Describe your ideal workday.. Ideal Answer: I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. Describe your ideal workday.
Ceritakan pada saya saat Anda sangat termotivasi untuk mencapai suatu tujuan.,Saya termotivasi oleh tantangan dan peluang untuk berkembang baik secara pribadi maupun profesional. Ceritakan pada saya saat Anda sangat termotivasi untuk mencapai suatu tujuan.,Data Scientist,Motivation,Medium,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,2,False,Role: Data Scientist. Stage: Opening. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: Tell me about a time you were highly motivated to achieve a goal.. Ideal Answer: I'm motivated by challenges and the opportunity to grow both personally and professionally. Tell me about a time you were highly motivated to achieve a goal.
Alat atau metode apa yang membantu Anda tetap teratur?,Saya mengikuti alur kerja terstruktur dan menggunakan alat seperti Jira/Trello/Notion untuk mengelola tugas saya secara efisien. Alat atau metode apa yang membantu Anda tetap teratur?,Data Scientist,Work Style,Hard,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,3,False,Role: Data Scientist. Stage: Case Study. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: What tools or methods help you stay organized?. Ideal Answer: I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. What tools or methods help you stay organized?
Bagaimana Anda mengatur dan memprioritaskan tugas harian Anda?,Saya mengikuti alur kerja terstruktur dan menggunakan alat seperti Jira/Trello/Notion untuk mengelola tugas saya secara efisien. Bagaimana Anda mengatur dan memprioritaskan tugas harian Anda?,Data Scientist,Work Style,Hard,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,3,False,Role: Data Scientist. Stage: Opening. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: How do you organize and prioritize your daily tasks?. Ideal Answer: I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. How do you organize and prioritize your daily tasks?
Apa harapan Anda dari kepemimpinan di sebuah perusahaan?,Saya berkembang dalam lingkungan yang kolaboratif dan transparan yang menghargai inovasi dan rasa hormat. Apa harapan Anda dari kepemimpinan di sebuah perusahaan?,Data Scientist,Culture Fit,Medium,Intermediate,Case Study,HR_Dataset,Leadership,General Engineering,2,False,"Role: Data Scientist. Stage: Case Study. Level: 2. Type: Leadership. Competency: General Engineering. Question: What are your expectations from leadership in a company?. Ideal Answer: I thrive in collaborative, transparent environments where innovation and respect are valued. What are your expectations from leadership in a company?"
